Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Redefining Copper Production Pilot Project",https://arena.gov.au/projects/redefining-copper-production-pilot-project/,"Renewables for industry","The Project will develop refining pilot plant to demonstrate a novel chloride leaching and electrochemical technology to produce low emissions copper metal. The technology enables a cheaper, cleaner and safer processing pathway for producing market grade copper metal from a range of concentrates feedstocks.
",$5m,$20m,"Banksia Minerals","Advancing Renewables Program",04/02/2026,Queensland,"ProMechAdvanced Robotics for Manufacturing HubThe University of QueenslandCore Resources",Current
"Australian Renewable Energy Hub Pty Ltd: Decarbonising the Pilbara and Beyond",https://arena.gov.au/projects/intercontinental-energy-decarbonising-the-pilbara-and-beyond/,"Renewables for industry","AREH will conduct a pre-FEED study focused on renewable hydrogen production in the Pilbara, integrating advanced wind, solar, and hydrogen technologies to supply up to 1GW of energy.
",$21.54m,$94.72m,"Australian Renewable Energy Hub (AREH)","Advancing Renewables Program",19/01/2026,"Western Australia","InterContinental Energy AREH  ",Current
"MGA Thermal: Thermal Energy Storage FEED Studies",https://arena.gov.au/projects/mga-thermal-thermal-energy-storage-feed-studies/,"Renewables for industry","MGA Thermal will deliver up to five Front-End Engineering Design (FEED) studies regarding the deployment of its proprietary thermal energy storage (TES) technology.
",$3.25m,$6.5m,"MGA Thermal Pty Ltd","Powering the Regions Industrial Transformation Stream",23/12/2025,"New South Wales",N/A,Current
"Ltyentye Apurte Microgrid Project",https://arena.gov.au/projects/ltyentye-apurte-microgrid-project/,"Battery storage","The Project will undertake development activities with the aim to construct a First Nations community-led microgrid including solar, battery, and diesel backup in the remote Aboriginal community of Ltyentye Apurte near Alice Springs, Northern Territory.
The project is led by AAAC, who is an Aboriginal Corporation that supports the community of Ltyentye Apurte by running social enterprises and community development programs.
",$1.43m,$1.96m,"Atyenhenge-Atherre Aboriginal Corporation","Regional Microgrids Program",22/12/2025,"Northern Territory","Territory Generation (TGen)",Current
"Iberdrola Australia; Moura; Dawson Renewable Hydrogen Hub; FEED Study",https://arena.gov.au/projects/iberdrola-australia-moura-dawson-renewable-hydrogen-hub-feed-study/,"Hydrogen energy","The Project comprises of: an Optimisation Model and Pre Front-End Engineering Design (Pre-FEED) study of the new renewable hydrogen plant; a FEED study of the new renewable hydrogen plant (HPF FEED); a permitting and/or approvals study of the new renewable hydrogen plant; and a FEED study of the integration of the renewable hydrogen into QNP’s existing facility (QNP FEED) which will inform an assessment of the technical and commercial feasibility of developing, constructing and operating the Dawson Renewable Energy Hub.
",$2.67m,$7.26m,Iberdrola,"Advancing Renewables Program",15/12/2025,Queensland,"Queensland Nitrates Pty Ltd (QNP)",Current
"Flow Power Highway",https://arena.gov.au/projects/flow-power-highway/,"Electric vehicles","Flow Power will develop, construct and operate a network of ultrafast battery electric vehicle (BEV) charging facilities across the east coast of Australia (the Project). The Project will deliver up to 84 dual-port BEV chargers across a minimum of 10 Charging Facilities, including at least eight Standard Stations, one Superstation and one Co-located Station.
",$18.07m,$70.23m,"Flow Power","Driving the Nation Program",01/12/2025,"New South Wales, Queensland, Victoria","GIGATONS Pty Ltd",Current
"Vehicle-Grid Network",https://arena.gov.au/projects/vehicle-grid-network/,"Electric vehicles","The Vehicle-Grid Network (VGN) is being established as Australia’s first national collaboration network accelerating electric vehicle-to-grid integration through cross-sector partnerships, knowledge sharing, and innovation.
",$1.09m,$2.37m,"University of Technology Sydney (Climate-KIC Australia and the Institute for Sustainable Futures)","Driving the Nation Program",01/12/2025,Australia-wide,"RACE for 2030 CRC",Current
"Biochar Production for Steelmaking",https://arena.gov.au/projects/biochar-production-for-steelmaking/,"Bioenergy / Energy from waste","The Recipient will construct and deliver a commercial scale novel technology facility to produce biochar pellets or lumps to replace fossil coke in an Electric Arc Furnace (EAF) and to produce electricity from syngas produced during pyrolysis.
",$4.8m,$10.9m,"Biocarbon Pty Ltd","National Industrial Transformation Program",01/12/2025,"New South Wales","Biomet Pty LtdInfraBuild (Manufacturing) Pty LtdInfraBuild NSWPyroAgS.A. Relf & Sons Pty Ltd",Current
"Alsco Uniforms ' Low Carbon Commercial Laundry",https://arena.gov.au/projects/alsco-uniforms-low-carbon-commercial-laundry/,,"The Project involves heat energy upgrades (additional to the proposed base design) as part of a new, low emission commercial laundry facility in Port Kembla, NSW. The Project aims to significantly reduce emissions at the new Facility by integrating advanced technologies such as commercial heat pumps, a steam-heated ironer heat recovery system, automation and robotics systems, load management and storage, and metering.
",$1.04m,$2.16m,"Alsco Pty Ltd","National Industrial Transformation Program",01/12/2025,"Port Kembla","Rheem AustraliaThielen AutomationNorthmore GordonDETA ConsultingSEPAK IndustriesEnergy SpecialitiesArmstrong Flow Control",Current
"Electrification of pharmaceutical manufacturing facility",https://arena.gov.au/projects/electrification-of-pharmaceutical-manufacturing-facility/,"Renewables for industry","The Project will decarbonise Opella’s pharmaceutical-grade manufacturing-facility replacing a gas-boiler and dehumidification units with electrified versions, incorporating heat pump technology.
",$1.94m,$4.03m,"Opella Consumer Healthcare (formerly Sanofi Consumer Healthcare and currently operating as the legal entity of Sanofi-Aventis Healthcare Pty Ltd)","National Industrial Transformation Program",01/12/2025,"Queensland, Virginia","Beam Energy LabsApplied Air Services",Current
"Wasleys Renewable Natural Gas Facility",https://arena.gov.au/projects/wasleys-renewable-natural-gas-facility/,"Bioenergy / Energy from waste","The Wasleys Renewable Natural Gas (RNG) Facility is Australia’s first commercial-scale agricultural renewable natural gas facility. It will convert piggery effluent into pipeline-quality renewable natural gas (RNG), providing a sustainable, locally-produced energy source for South Australian gas users.
",$10m,$24.1m,"Helmont Energy Pty Ltd","Advancing Renewables Program",11/11/2025,"South Australia","LMS Energy SunPork Group",Current
