Title,Publish date,Category,Associated project name,Link to item,Type,Link to project page,Year,Project Status,pdf_url,local_path,status
Fortescue Solar Innovation Hub - Milestone 1 report,5/03/2026,"Large-scale solar, Solar energy",Fortescue Solar Innovation Hub,https://arena.gov.au/knowledge-bank/fortescue-solar-innovation-hub-milestone-1-report/,Milestones,https://arena.gov.au/projects/fortescue-solar-innovation-hub/,2025,Current,https://arena.gov.au/assets/2026/03/Fortescue-Solar-Innovation-Hub-Milestone-1-report.pdf,pdfs/Milestones/Fortescue_Solar_Innovation_Hub_-_Milestone_1_report_4b4e07.pdf,downloaded
Curtin University ' Hydrogen export using a powder project ' Core Research Interim Report,19/02/2026,Hydrogen energy,Hydrogen export using a powder project,https://arena.gov.au/knowledge-bank/curtin-university-hydrogen-export-using-a-powder-project-core-research-interim-report/,Reports,https://arena.gov.au/projects/hydrogen-export-using-a-powder-project/,2024,Current,https://arena.gov.au/assets/2026/02/Curtin-University-–-Hydrogen-export-using-a-powder-project-–-Core-Research-Interim-Report.pdf,pdfs/Reports/Curtin_University_'_Hydrogen_export_using_a_powder_project_'_Core_Research_Interim_Report_1586a3.pdf,downloaded
Origin - Mortlake Power Station Battery Project - Development and Grid Connection Report,19/02/2026,Battery storage,Origin Energy Mortlake Power Station Battery,https://arena.gov.au/knowledge-bank/origin-mortlake-power-station-battery-project-development-and-grid-connection-report/,Reports,https://arena.gov.au/projects/origin-energy-mortlake-power-station-battery/,2024,Current,https://arena.gov.au/assets/2026/02/Origin-Mortlake-Power-Station-Battery-Project-Development-and-Grid-Connection-Report.pdf,pdfs/Reports/Origin_-_Mortlake_Power_Station_Battery_Project_-_Development_and_Grid_Connection_Report_323a41.pdf,downloaded
Lochard Energy H2RESTORE Feasibility Study,18/02/2026,Hydrogen energy,Lochard Energy H2RESTORE Feasibility Study,https://arena.gov.au/knowledge-bank/lochard-energy-h2restore-feasibility-study/,Reports,https://arena.gov.au/projects/lochard-energy-h2restore-feasibility-study/,2024,Past,https://arena.gov.au/assets/2026/02/DL-15547-KS9-Feasibility-Summary-Report-Public-2025-11-26T11_19_42.pdf,pdfs/Reports/Lochard_Energy_H2RESTORE_Feasibility_Study_eea5a1.pdf,downloaded
SA Power Networks - Energy Masters - Lessons Learnt Report 2,16/02/2026,Demand response,SA Power Networks - Electrification and Demand Flexibility,https://arena.gov.au/knowledge-bank/sa-power-networks-energy-masters-lessons-learnt-report-2/,Reports,https://arena.gov.au/projects/sa-power-networks-electrification-and-demand-flexibility/,2024,Current,https://arena.gov.au/assets/2026/02/SA-Power-Networks-Energy-Masters-Lessons-Learnt-Report-2.pdf,pdfs/Reports/SA_Power_Networks_-_Energy_Masters_-_Lessons_Learnt_Report_2_a2428d.pdf,downloaded
DEIP Market Integration Trials Summary Report 3.0,12/02/2026,Distributed energy resources,,https://arena.gov.au/knowledge-bank/deip-market-integration-trials-summary-report-3-0/,Reports,,,,https://arena.gov.au/assets/2026/02/DEIP-Market-Integration-Trials-Summary30.pdf,pdfs/Reports/DEIP_Market_Integration_Trials_Summary_Report_3.0_08b5df.pdf,downloaded
Stanwell - Central Queensland Hydrogen (CQ-H2) Project FEED study - Public FEED Summary Report,3/02/2026,Hydrogen energy,Central Queensland Hydrogen (CQ-H2) Project FEED study,https://arena.gov.au/knowledge-bank/stanwell-central-queensland-hydrogen-cq-h2-project-feed-study-public-feed-summary-report/,Reports,https://arena.gov.au/projects/central-queensland-hydrogen-cq-h2-project-feed-study/,2023,Past,https://arena.gov.au/assets/2026/02/Stanwell-Central-Queensland-Hydrogen-CQ-H2-Project-FEED-study-Public-FEED-Summary-Report.pdf,pdfs/Reports/Stanwell_-_Central_Queensland_Hydrogen_(CQ-H2)_Project_FEED_study_-_Public_FEED_Summary_Report_75813e.pdf,downloaded
Fortescue - Low Temp Direct Electrochemical Reduction for Zero Emissions Iron - Core Research Final Report,27/01/2026,Renewables for industry,Fortescue - low temperature direct electrochemical reduction for zero emissions iron,https://arena.gov.au/knowledge-bank/fortescue-low-temp-direct-electrochemical-reduction-for-zero-emissions-iron-core-research-final-report/,Reports,https://arena.gov.au/projects/fortescue-low-temperature-direct-electrochemical-reduction-for-zero-emissions-iron-project/,2024,Past,https://arena.gov.au/assets/2026/01/Fortescue-Low-Temp-Direct-Electrochemical-Reduction-for-Zero-Emissions-Iron-Core-Research-Final-Report.pdf,pdfs/Reports/Fortescue_-_Low_Temp_Direct_Electrochemical_Reduction_for_Zero_Emissions_Iron_-_Core_Research_Final_Report_980651.pdf,downloaded
Rio Tinto and Sumitomo - Yarwun Hydrogen Calcination Pilot Demonstration Program - Lessons Learnt Report 6,27/01/2026,Hydrogen energy,Yarwun Hydrogen Calcination Pilot Demonstration Program,https://arena.gov.au/knowledge-bank/rio-tinto-and-sumitomo-yarwun-hydrogen-calcination-pilot-demonstration-program-lessons-learnt-report-6/,"Reports, Lessons",https://arena.gov.au/projects/yarwun-hydrogen-calcination-pilot-demonstration-program/,2023,Current,https://arena.gov.au/assets/2026/01/Rio-Tinto-and-Sumitomo-Yarwun-Hydrogen-Calcination-Pilot-Demonstration-Program-Lessons-Learnt-Report-6.pdf,pdfs/Reports_Lessons/Rio_Tinto_and_Sumitomo_-_Yarwun_Hydrogen_Calcination_Pilot_Demonstration_Program_-_Lessons_Learnt_Report_6_74f978.pdf,downloaded
Fortescue - Low Temp Direct Electrochemical Reduction for Zero Emissions Iron - Research Poster n2,27/01/2026,Renewables for industry,Fortescue - low temperature direct electrochemical reduction for zero emissions iron,https://arena.gov.au/knowledge-bank/fortescue-low-temp-direct-electrochemical-reduction-for-zero-emissions-iron-research-poster-n2/,Reports,https://arena.gov.au/projects/fortescue-low-temperature-direct-electrochemical-reduction-for-zero-emissions-iron-project/,2024,Past,https://arena.gov.au/assets/2026/01/Fortescue-Low-Temp-Direct-Electrochemical-Reduction-for-Zero-Emissions-Iron-Research-Poster-n2.pdf,pdfs/Reports/Fortescue_-_Low_Temp_Direct_Electrochemical_Reduction_for_Zero_Emissions_Iron_-_Research_Poster_n2_88d51f.pdf,downloaded
Navigating Dynamic Operating Envelopes,27/01/2026,Distributed energy resources,,https://arena.gov.au/knowledge-bank/navigating-dynamic-operating-envelopes/,Reports,,,,https://arena.gov.au/assets/2026/01/Final-DEIP-DOEs-Report-Feb-2026.pdf,pdfs/Reports/Navigating_Dynamic_Operating_Envelopes_abb07a.pdf,downloaded
Edify - Darlington Point Energy Storage System - Operations Report 4,23/01/2026,Battery storage,Darlington Point Energy Storage System,https://arena.gov.au/knowledge-bank/edify-darlington-point-energy-storage-system-operations-report-4/,Reports,https://arena.gov.au/projects/darlington-point-energy-storage-system/,2022,Current,https://arena.gov.au/assets/2026/01/Edify-Darlington-Point-Energy-Storage-System-Operations-Report-4.pdf,pdfs/Reports/Edify_-_Darlington_Point_Energy_Storage_System_-_Operations_Report_4_c49888.pdf,downloaded
Project Clean Wafers ' Pre-Feasibility Study,16/01/2026,Solar PV R&amp;D,Stellar PV - Project Clean Wafers - Feasibility Study,https://arena.gov.au/knowledge-bank/project-clean-wafers-pre-feasibility-study/,Reports,https://arena.gov.au/projects/stellar-pv-project-clean-wafers-feasibility-study/,2025,Current,https://arena.gov.au/assets/2026/01/Project-Clean-Wafers-Pre-Feasibility-Study.pdf,pdfs/Reports/Project_Clean_Wafers_'_Pre-Feasibility_Study_ef116e.pdf,downloaded
AGL-Liddell BESS-Battery Development and Grid Connection Report,14/01/2026,Battery storage,AGL Energy - Liddell Large Scale Battery with advanced inverters; Deployment Project,https://arena.gov.au/knowledge-bank/agl-liddell-bess-battery-development-and-grid-connection-report/,Reports,https://arena.gov.au/projects/agl-liddell-large-scale-battery-with-advanced-inverters-deployment-project/,2024,Current,https://arena.gov.au/assets/2026/01/AGL-Liddell-BESS-Battery_Development-and-Grid-Connection-Report.pdf,pdfs/Reports/AGL-Liddell_BESS-Battery_Development_and_Grid_Connection_Report_eb7ed5.pdf,downloaded
